specie,Altura,Transecto,Grosor Talo,Corteza,Estrato Algal,Medula total
Niebla,550,A,731.15825,43.616625,64.6125,513.2095
Niebla,550,A,591.56425,52.03475,46.337625,394.528
Niebla,650,A,371.545,60.09975,52.61225,145.81775
Niebla,650,A,610.169,65.76075,65.692125,346.89925
Niebla,750,A,540.84825,52.62075,58.717875,317.82575
Niebla,750,A,279.587,45.72475,49.854875,87.969
Niebla,850,A,511.719,50.92325,31.269625,347.105
Niebla,500,B,1008.685,55.33025,64.188875,768.9155
Niebla,500,B,516.04775,64.98525,63.148,259.44125
Niebla,600,B,605.9865,81.392625,45.993875,350.81775
Niebla,600,B,670.9325,60.664625,59.619875,429.4925
Niebla,700,B,597.82575,53.499625,47.966875,394.424
Niebla,800,B,215.55475,32.381625,18.656875,113.0235
Buellia,650,A,279.808,36.098,65.3155,167.1655
Buellia,750,A,224.881,24.16975,64.56575,119.908875
Buellia,750,A,164.845,43.805125,57.19475,62.164375
Buellia,850,A,237.476,50.036375,81.5595,89.405
Buellia,850,A,248.602,63.048875,77.369875,139.656875
Buellia,500,B,222.741,36.491,67.212875,95.980375
Buellia,500,B,134.942,49.794,61.154875,31.49975
Buellia,600,B,235.367,49.24525,68.672375,153.1015
Buellia,600,B,224.463,22.345625,65.317125,120.267125
Buellia,700,B,177.694,50.044625,48.77925,120.6895
Buellia,700,B,223.839,48.06825,52.821375,120.126125
Buellia,800,B,181.698,42.606875,78.691375,70.313625
Buellia,800,B,223.623,44.345625,77.836,137.32225
Roccellina,450,A,369.7045,44.0099,85.5722,240.2681
Roccellina,550,A,255.7267,51.8023,72.9071,131.1543
Roccellina,400,B,428.307,48.9772,73.0144,352.7446667
Roccellina,400,B,303.4466,43.4092,110.2611,149.901
Roccellina,500,B,453.4026,52.8438,81.4429,319.2107
Roccellina,500,B,347.4163,58.2776,73.5417,215.7035
Roccellina,600,B,264.5171,37.4147,76.2358,150.9511
Roccellina,600,B,262.395,40.501,70.8567,151.1244
Roccellina,700,B,249.4759,55.1315,49.7065,144.4945
Roccellina,700,B,286.7526,56.6928,72.6205,157.5568
Heterodermia,650,A,183.7194667,76.8032,46.3826,60.53366667
Heterodermia,650,A,168.2847333,40.0838,53.96486667,74.23606667
Heterodermia,750,A,214.0933333,60.154,72.02986667,81.90946667
Heterodermia,750,A,142.1293333,48.63586667,56.7278,36.76566667
Heterodermia,850,A,141.7802667,45.74586667,49.71393333,46.32046667
Heterodermia,850,A,159.465,58.9596,51.72273333,48.78266667
Heterodermia,500,B,137.5893333,64.94893333,44.10013333,28.54026667
Heterodermia,500,B,186.5226667,69.4032,80.90493333,36.21453333
Heterodermia,600,B,163.2096,38.4244,50.1368,74.6484
Heterodermia,600,B,179.6322,49.1616,70.7128,59.7578
Heterodermia,700,B,170.0238667,60.4878,54.91246667,54.6236
Heterodermia,700,B,165.7015333,56.042,51.14793333,58.5116
Heterodermia,800,B,157.1533333,64.20533333,56.47073333,36.47726667
Heterodermia,800,B,193.292,82.33486667,62.94433333,48.0128
